Id,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Quality,,,,
3940,6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,Disappointing,,,,
1655,7.5,0,0.4,18.9,0.059,44,170,1,2.99,0.46,9,Disappointing,,,,
1867,6.3,0.28,0.3,3.1,0.039,24,115,0.9942,3.05,0.43,8.6,Disappointing,,,,
4476,7.4,0.18,0.3,10.4,0.045,44,174,0.9966,3.11,0.57,9.7,Good,,,,
453,6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,Good,,,,
3297,6.7,0.16,0.34,1.6,0.026,27,109,0.9934,3.34,0.58,10.1,Good,,,,
2574,7.5,0.21,0.34,,0.06,26,111,0.9931,3.51,0.47,10.7,Good,,,,
4103,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,Good,,,,
3405,6.3,0.3,0.34,1.6,0.049,14,132,0.049,3.3,0.49,9.5,Good,,,,
2924,7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,Good,,,,
722,6,0.32,0.3,1.3,0.025,18,112,0.98802,3.07,0.64,13.3,Good,,,,
2202,9.2,0.71,0.23,6.2,0.042,15,93,0.9948,2.89,0.34,10.1,Good,,,,
2020,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,Disappointing,,,,
723,6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,Good,,,,
3865,7.6,0.31,0.26,1.7,0.073,40,157,0.9938,3.1,0.46,9.8,Disappointing,,,,
1337,6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,Disappointing,,,,
2949,6.9,0.19,0.35,6.9,0.045,51,125,0.9933,3.1,0.44,10.7,Good,,,,
2231,7.8,0,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,Good,,,,
2624,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,,0.4,8.7,Disappointing,,,,
2832,6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,Disappointing,,,,
492,6.1,0.36,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5,Good,,,,
2255,6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,Good,,,,
752,7.9,,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,Disappointing,,,,
1988,9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,Disappointing,,,,
3104,7,0.24,0.36,4.9,0.083,10,133,0.9942,3.33,0.37,10.8,Good,,,,
2651,6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.33333333,Good,,,,
1235,8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,Disappointing,,,,
1388,6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6,Good,,,,
50,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,Good,,,,
1369,5.9,0.32,0.39,3.3,0.114,24,140,0.9934,3.09,0.45,9.2,Good,,,,
3254,6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,Good,,,,
337,8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,Good,,,,
4504,8.1,0.26,0.3,7.8,0.049,39,152,0.9954,2.99,0.58,10,Good,,,,
3703,6.3,0.18,0.22,5.6,0.047,45,147,0.99383,3.09,0.54,10,Disappointing,,,,
4116,6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,Disappointing,,,,
2396,6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5,Disappointing,,,,
1586,5.9,0.17,0.3,1.4,0.042,25,119,0.9931,3.68,0.72,10.5,Good,,,,
2155,8.3,0.16,0.48,1.7,0.057,31,98,0.9943,3.15,0.41,10.3,Good,,,,
502,8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,Good,,,,
1059,5.2,0.24,0.45,3.8,0.027,21,128,0.027,3.55,0.49,11.2,Good,,,,
1730,7,0.25,0.33,2.1,0.021,17,,0.99021,3.26,0.45,12.3,Good,,,,
1855,5.9,0.25,0.24,7.4,0.044,21,113,0.99462,3.38,0.58,10.5,Good,,,,
3071,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,Good,,,,
639,7.8,0.2,0.2,1.4,0.036,25,83,0.99088,3.03,0.46,11.7,Good,,,,
2141,8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,Disappointing,,,,
678,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,Good,,,,
2547,7.1,0.32,0.3,9.9,0.041,63,192,0.99642,3.12,0.49,10.2,Good,,,,
127,6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,Good,,,,
3707,5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,Good,,,,
3853,7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,Disappointing,,,,
928,7.1,0.26,0.19,8.2,0.051,53,187,0.051,3.16,0.52,9.7,Disappointing,,,,
2532,8.6,0.18,0.28,0.8,0.032,25,78,0.99104,2.99,0.38,11.1,Disappointing,,,,
2821,6.5,0.39,0.81,1.2,0.217,14,74,0.9936,3.08,0.53,9.5,Disappointing,,,,
608,7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,Disappointing,,,,
3207,6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,Disappointing,,,,
4036,7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5,Disappointing,,,,
4369,6.2,0.35,0.25,18.4,0.051,28,182,0.99946,3.13,0.62,9.3,Good,,,,
3373,6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,Good,,,,
8,6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333,Good,,,,
3543,6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,Disappointing,,,,
1581,5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,Disappointing,,,,
1886,6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,Disappointing,,,,
15,6.4,0.3,0.3,2.25,0.038,8,210,0.9937,3.2,0.62,9.9,Good,,,,
1544,6.8,0.24,0.35,6.4,0.048,44,172,0.9944,3.29,0.55,10.5,Good,,,,
1489,8.1,0.19,0.58,16.65,0.049,48,181,1.0006,3.2,0.62,9.1,Good,,,,
2115,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,Good,,,,
3786,6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,Disappointing,,,,
3014,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,Good,,,,
1681,6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,Disappointing,,,,
3613,6.8,0.36,0.32,1.6,0.039,,124,0.9948,3.3,0.67,9.6,Disappointing,,,,
1750,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,Good,,,,
4326,6.3,0.32,0.26,12,0.049,63,170,0.9961,3.14,0.55,9.9,Good,,,,
3536,5.2,0.28,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10,Good,,,,
1399,6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,Good,,,,
1104,6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,Good,,,,
710,7.1,0.37,0.32,1.4,0.037,27,126,0.9918,3.19,0.62,12,Disappointing,,,,
4066,7.8,0,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,Disappointing,,,,
2472,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,Good,,,,
4148,7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.43333333,Good,,,,
4569,6.5,0.33,0.32,1,0.041,39,120,0.99004,3.06,0.37,12.2,Good,,,,
